Date,Close,High,Low,Open,Volume
2014-06-25,9.626206398010254,9.626206398010254,9.626206398010254,9.626206398010254,0
2014-06-26,9.626206398010254,9.626206398010254,9.626206398010254,9.626206398010254,0
2014-06-27,8.863005638122559,9.074030085902137,8.687152391826961,8.687152391826961,78278719
2014-06-30,8.975550651550293,9.031823278035485,8.662532153406865,8.71528802835381,41143703
2014-07-01,9.000170707702637,9.088097788856947,8.880591018597462,8.9755516035743,29061344
2014-07-02,9.038857460021973,9.179539482664088,8.968515988513602,9.000169512636175,26019079
2014-07-03,9.059961318969727,9.165472152531583,8.968516571725143,9.031823624087068,22770093
2014-07-04,9.401115417480469,9.773925138141808,9.059961062854601,9.059961062854601,46038110
2014-07-07,9.453871726989746,9.503109927985436,9.285052013773653,9.341325558303888,25416217
2014-07-08,9.724688529968262,9.879439444858761,9.35891313820441,9.460908163970295,34812620
2014-07-09,9.5593843460083,9.932194117450578,9.415184626604853,9.689516136826578,29724882
2014-07-10,9.429252624511719,9.766891163454757,9.387047922190677,9.69303201401823,20072047
2014-07-11,9.278019905090332,9.555868184536497,9.214712841982323,9.453874085334595,19350051
2014-07-14,9.56290054321289,9.647309942452054,9.281534651916154,9.334291446815273,20291520
2014-07-15,9.274500846862793,9.619173776364292,9.066994107032627,9.566416983183249,23073590
2014-07-16,8.866522789001465,9.316708481925465,8.803216648306824,9.232298146791383,23080181
2014-07-17,8.943897247314453,9.000169874559262,8.768043101284604,8.827834320864456,11450956
2014-07-18,8.778594970703125,9.056444138440133,8.729356763110236,8.915762099014437,12967235
2014-07-21,8.655497550964355,8.894657819236345,8.592190502337179,8.792663743364537,11366150
2014-07-22,8.863005638122559,8.891141494860019,8.63439650997576,8.63439650997576,11334012
2014-07-23,8.3811674118042,8.91927827150576,8.335445038670432,8.83486794888373,17839303
2014-07-24,8.553502082824707,8.571087679931388,8.191244488749488,8.331926504479192,14993569
2014-07-25,8.599225044250488,8.648465092964898,8.39523594748571,8.444475075825377,12125598
2014-07-28,8.81728458404541,8.90521075102856,8.602743374451801,8.634396905010712,19397176
2014-07-29,8.820799827575684,9.003687475330947,8.771560703891629,8.796180725920983,14755651
2014-07-30,9.007203102111816,9.028305449573443,8.746940509960249,8.757491683691061,19311764
2014-07-31,9.20416259765625,9.334293476318713,8.89817661813617,8.982586956102844,27878107
2014-08-01,8.993136405944824,9.25691578525387,8.982585230772463,9.190091982620467,15618856
2014-08-04,9.62972640991211,9.893505813909115,8.968517223018523,9.063478728832198,39471471
2014-08-05,9.591036796569824,9.707099714232902,9.390563563868099,9.566416776209746,22772557
2014-08-06,9.594554901123047,9.707101083340374,9.464424039453595,9.591038149307566,19420020
2014-08-07,9.344841003417969,9.647308271769782,9.28856746675399,9.559381215872747,16871382
2014-08-08,9.682479858398438,9.847781899215907,9.344842274005043,9.425733998349555,29877429
2014-08-11,9.724688529968262,9.773927666609532,9.580487872527787,9.678966145810332,20178171
2014-08-12,9.95681381225586,10.22411091382815,9.640278497531968,9.682482285786982,35932660
2014-08-13,9.80557632446289,10.016600716215954,9.668411068066842,9.93570807872934,21059629
2014-08-14,9.707101821899414,9.981432414121967,9.636760337614854,9.773926554100923,18646775
2014-08-15,9.780960083007812,9.981432439369845,9.643794786549579,9.73875537640528,19233760
